question_id,area,question_text,option_a,option_b,option_c,option_d,correct_answer,marks
PROF001,Professional,"A key principle of management development is that training should be:",Occasional,Continuous,Punitive,Optional,B,1
PROF002,Professional,"The primary purpose of a training needs assessment is to identify:",Budgets,Performance gaps,Office space,Holidays,B,1
PROF003,Professional,"Which is a core function of management?",Planning,Gossiping,Delaying,Avoiding,A,1
CA001,Current Affairs,"ECOWAS headquarters is located in:",Accra,Abuja,Lome,Dakar,B,1
CA002,Current Affairs,"The African Continental Free Trade Area is commonly abbreviated as:",AfCFTA,ACFTA,AFTA,ACFA,A,1
ENG001,English Language,"Choose the correctly spelled word:",Recieve,Receive,Receeve,Receve,B,1
ENG002,English Language,"The plural of 'analysis' is:",Analysis,Analysises,Analyses,Analysis's,C,1
ENG003,English Language,"Select the synonym of 'diligent':",Lazy,Hardworking,Careless,Slow,B,1
ASCON001,ASCON/Public Service Rules,"The Public Service Rules are issued to guide:",Private firms,Public officers,Traders,Students,B,1
ASCON002,ASCON/Public Service Rules,"Annual leave in the public service is a:",Privilege only,Entitlement,Punishment,Bonus,B,1
ASCON003,ASCON/Public Service Rules,"ASCON's core mandate centres on:",Manufacturing,Training and capacity building,Banking,Agriculture,B,1
FIN001,Financial Regulation,"The document authorising government spending is the:",Warrant,Receipt,Invoice,Memo,A,1
FIN002,Financial Regulation,"Financial Regulations are primarily concerned with the management of:",Public funds,Private savings,Stock trading,Real estate,A,1
